filename,channels,samples,sample_rate,duration_seconds,data_shape
G_S0162_M3_E3_R8_W_raw_ref.mat,6,26000,200.0,130.0,"(6, 26000)"
G_S0162_M3_E5_R1_N1_raw_ref.mat,6,32000,200.0,160.0,"(6, 32000)"
G_S0163_M1_E3_R10_W_raw_ref.mat,6,16000,200.0,80.0,"(6, 16000)"
G_S0163_M1_E3_R11_W_raw_ref.mat,6,18000,200.0,90.0,"(6, 18000)"
G_S0163_M1_E3_R12_W_raw_ref.mat,6,38000,200.0,190.0,"(6, 38000)"
G_S0163_M1_E3_R13_W_raw_ref.mat,6,26000,200.0,130.0,"(6, 26000)"
G_S0163_M1_E3_R14_W_raw_ref.mat,6,24000,200.0,120.0,"(6, 24000)"
G_S0163_M1_E3_R1_N1_raw_ref.mat,6,48000,200.0,240.0,"(6, 48000)"
G_S0163_M1_E3_R2_W_raw_ref.mat,6,10000,200.0,50.0,"(6, 10000)"
G_S0163_M1_E3_R3_N1_raw_ref.mat,6,42000,200.0,210.0,"(6, 42000)"
G_S0163_M1_E3_R4_W_raw_ref.mat,6,48000,200.0,240.0,"(6, 48000)"
G_S0163_M1_E3_R5_W_raw_ref.mat,6,48000,200.0,240.0,"(6, 48000)"
G_S0163_M1_E3_R6_W_raw_ref.mat,6,36000,200.0,180.0,"(6, 36000)"
G_S0163_M1_E3_R7_W_raw_ref.mat,6,30000,200.0,150.0,"(6, 30000)"
G_S0163_M1_E3_R8_N1_raw_ref.mat,6,14000,200.0,70.0,"(6, 14000)"
G_S0163_M1_E3_R9_REM_raw_ref.mat,6,32000,200.0,160.0,"(6, 32000)"
G_S0171_M2_E2_R2_N1_raw_ref.mat,6,34000,200.0,170.0,"(6, 34000)"
G_S0171_M2_E3_R1_N1_raw_ref.mat,6,102000,200.0,510.0,"(6, 102000)"
G_S0171_M2_E3_R3_N1_raw_ref.mat,6,44000,200.0,220.0,"(6, 44000)"
G_S0171_M2_E3_R4_N1_raw_ref.mat,6,56000,200.0,280.0,"(6, 56000)"
G_S0171_M2_E3_R5_N1_raw_ref.mat,6,52000,200.0,260.0,"(6, 52000)"
G_S0171_M2_E3_R6_N2_raw_ref.mat,6,40000,200.0,200.0,"(6, 40000)"
G_S0171_M2_E3_R7_N1_raw_ref.mat,6,44000,200.0,220.0,"(6, 44000)"
G_S0171_M2_E3_R8_N1_raw_ref.mat,6,40000,200.0,200.0,"(6, 40000)"
G_S0172_M1_E0_R1_N2_raw_ref.mat,6,38000,200.0,190.0,"(6, 38000)"
G_S0172_M1_E2_R2_W_raw_ref.mat,6,42000,200.0,210.0,"(6, 42000)"
G_S0172_M1_E2_R7_W_raw_ref.mat,6,40000,200.0,200.0,"(6, 40000)"
G_S0172_M1_E3_R3_N1_raw_ref.mat,6,40000,200.0,200.0,"(6, 40000)"
G_S0172_M1_E3_R4_W_raw_ref.mat,6,54000,200.0,270.0,"(6, 54000)"
G_S0172_M1_E3_R5_W_raw_ref.mat,6,60000,200.0,300.0,"(6, 60000)"
G_S0172_M1_E3_R8_N2_raw_ref.mat,6,54000,200.0,270.0,"(6, 54000)"
G_S0172_M1_E4_R6_N1_raw_ref.mat,6,34000,200.0,170.0,"(6, 34000)"
G_S0173_M3_E0_R4_W_raw_ref.mat,6,34000,200.0,170.0,"(6, 34000)"
G_S0173_M3_E3_R1_N1_raw_ref.mat,6,42000,200.0,210.0,"(6, 42000)"
G_S0173_M3_E3_R2_N2_raw_ref.mat,6,38000,200.0,190.0,"(6, 38000)"
G_S0173_M3_E3_R3_W_raw_ref.mat,6,32000,200.0,160.0,"(6, 32000)"
G_S0173_M3_E3_R5_N2_raw_ref.mat,6,22000,200.0,110.0,"(6, 22000)"
G_S0181_M3_E3_R2_N2_raw_ref.mat,6,30000,200.0,150.0,"(6, 30000)"
G_S0203_M1_E2_R2_N2_raw_ref.mat,6,40200,200.0,201.0,"(6, 40200)"
G_S0203_M1_E3_R1_N2_raw_ref.mat,6,183000,200.0,915.0,"(6, 183000)"
G_S0203_M1_E3_R3_N1_raw_ref.mat,6,61600,200.0,308.0,"(6, 61600)"
G_S0203_M1_E3_R4_W_raw_ref.mat,6,38200,200.0,191.0,"(6, 38200)"
G_S0203_M1_E3_R5_N1_raw_ref.mat,6,54000,200.0,270.0,"(6, 54000)"
G_S0203_M1_E3_R6_N2_raw_ref.mat,6,55000,200.0,275.0,"(6, 55000)"
G_S0211_M1_E2_R7_N1_raw_ref.mat,6,78000,200.0,390.0,"(6, 78000)"
G_S0211_M1_E3_R3_W_raw_ref.mat,6,46000,200.0,230.0,"(6, 46000)"
G_S0211_M1_E3_R5_W_raw_ref.mat,6,48000,200.0,240.0,"(6, 48000)"
G_S0211_M1_E3_R8_N1_raw_ref.mat,6,44000,200.0,220.0,"(6, 44000)"
G_S0211_M1_E3_R9_N2_raw_ref.mat,6,54000,200.0,270.0,"(6, 54000)"
G_S0211_M1_E4_R10_N1_raw_ref.mat,6,68000,200.0,340.0,"(6, 68000)"
G_S0211_M1_E4_R11_N1_raw_ref.mat,6,42000,200.0,210.0,"(6, 42000)"
G_S0211_M1_E4_R1_N1_raw_ref.mat,6,36000,200.0,180.0,"(6, 36000)"
G_S0211_M1_E4_R2_N2_raw_ref.mat,6,52000,200.0,260.0,"(6, 52000)"
G_S0211_M1_E4_R4_W_raw_ref.mat,6,48000,200.0,240.0,"(6, 48000)"
G_S0211_M1_E4_R6_N1_raw_ref.mat,6,68000,200.0,340.0,"(6, 68000)"
G_S0212_M2_E3_R10_N2_raw_ref.mat,6,50000,200.0,250.0,"(6, 50000)"
G_S0212_M2_E3_R11_N1_raw_ref.mat,6,62000,200.0,310.0,"(6, 62000)"
G_S0212_M2_E3_R2_N1_raw_ref.mat,6,72000,200.0,360.0,"(6, 72000)"
G_S0212_M2_E3_R3_REM_raw_ref.mat,6,66000,200.0,330.0,"(6, 66000)"
G_S0212_M2_E3_R4_N1_raw_ref.mat,6,54000,200.0,270.0,"(6, 54000)"
G_S0212_M2_E3_R7_N1_raw_ref.mat,6,50000,200.0,250.0,"(6, 50000)"
G_S0212_M2_E4_R12_REM_raw_ref.mat,6,44000,200.0,220.0,"(6, 44000)"
G_S0212_M2_E4_R13_REM_raw_ref.mat,6,64000,200.0,320.0,"(6, 64000)"
G_S0212_M2_E4_R1_N2_raw_ref.mat,6,20000,200.0,100.0,"(6, 20000)"
G_S0212_M2_E4_R5_N1_raw_ref.mat,6,42000,200.0,210.0,"(6, 42000)"
G_S0212_M2_E4_R6_N1_raw_ref.mat,6,44000,200.0,220.0,"(6, 44000)"
G_S0212_M2_E4_R8_W_raw_ref.mat,6,48000,200.0,240.0,"(6, 48000)"
G_S0212_M2_E5_R9_W_raw_ref.mat,6,42000,200.0,210.0,"(6, 42000)"
G_S0213_M3_E2_R7_N2_raw_ref.mat,6,36000,200.0,180.0,"(6, 36000)"
G_S0213_M3_E3_R1_W_raw_ref.mat,6,30000,200.0,150.0,"(6, 30000)"
G_S0213_M3_E3_R5_N1_raw_ref.mat,6,46000,200.0,230.0,"(6, 46000)"
G_S0213_M3_E3_R6_N2_raw_ref.mat,6,46000,200.0,230.0,"(6, 46000)"
G_S0213_M3_E4_R2_W_raw_ref.mat,6,6000,200.0,30.0,"(6, 6000)"
G_S0213_M3_E4_R3_W_raw_ref.mat,6,56000,200.0,280.0,"(6, 56000)"
G_S0213_M3_E4_R4_N1_raw_ref.mat,6,68000,200.0,340.0,"(6, 68000)"
G_S0221_M1_E2_R1_N1_raw_ref.mat,6,186000,200.0,930.0,"(6, 186000)"
G_S0221_M1_E3_R3_N2_raw_ref.mat,6,222000,200.0,1110.0,"(6, 222000)"
G_S0221_M1_E4_R2_N1_raw_ref.mat,6,198000,200.0,990.0,"(6, 198000)"
G_S0222_M2_E0_R3_N2_raw_ref.mat,6,12000,200.0,60.0,"(6, 12000)"
G_S0222_M2_E3_R2_N2_raw_ref.mat,6,100000,200.0,500.0,"(6, 100000)"
G_S0222_M2_E3_R4_W_raw_ref.mat,6,22000,200.0,110.0,"(6, 22000)"
G_S0222_M2_E3_R5_W_raw_ref.mat,6,108000,200.0,540.0,"(6, 108000)"
G_S0231_M2_E2_R2_W_raw_ref.mat,6,48000,200.0,240.0,"(6, 48000)"
